YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN
2021,1,1,-1,27.3,21.6
2021,1,2,0,30.6,24.5
2021,1,3,3.6,30.2,23.6
2021,1,4,0,31.6,23.9
2021,1,5,0,31.9,23.6
2021,1,6,0,32.5,22.7
2021,1,7,0,32.4,23.7
2021,1,8,0,31.6,23.7
2021,1,9,0,31.3,23.8
2021,1,10,0,30,22.7
2021,1,11,0,30.3,23.3
2021,1,12,0,29.5,21.4
2021,1,13,0,30.2,23.4
2021,1,14,0,31.7,23.5
2021,1,15,0,32.4,23.8
2021,1,16,0,31.9,24.1
2021,1,17,0,30,25.4
2021,1,18,0,31.3,25.3
2021,1,19,0,31.2,24
2021,1,20,1.1,30.8,24.4
2021,1,21,35.5,31.8,23.7
2021,1,22,34.5,29.6,24
2021,1,23,7,27.4,22.9
2021,1,24,0,31.7,24.6
2021,1,25,2.2,31.4,23.9
2021,1,26,1.1,31.4,23.8
2021,1,27,0,30.7,23.4
2021,1,28,0,31.1,23.8
2021,1,29,0,29.4,23.1
2021,1,30,0,28.8,21.9
2021,1,31,0,28.9,21.4
2021,2,1,0,29.6,21.7
2021,2,2,0,31.1,22.6
2021,2,3,0,31.4,23.6
2021,2,4,0,31,23.5
2021,2,5,-1,31.4,24.1
2021,2,6,0.6,31.1,23.3
2021,2,7,0,32.7,24.4
2021,2,8,0,31.8,24.1
2021,2,9,-1,29.5,24
2021,2,10,2,31,23.7
2021,2,11,0,30,23
2021,2,12,0,30.1,23
2021,2,13,0,29.9,22.6
2021,2,14,0,29.8,22.5
2021,2,15,0,30.2,22.2
2021,2,16,0,31.2,21.1
2021,2,17,-1,31.4,21.7
2021,2,18,0,30.8,21.4
2021,2,19,0,29.2,20.2
2021,2,20,0,28.7,19.4
2021,2,21,0,30.4,22.1
2021,2,22,1,30.4,23.4
2021,2,23,0,30.2,24.3
2021,2,24,0,33.5,23.4
2021,2,25,0,33.3,22
2021,2,26,0,31.6,22.5
2021,2,27,0,33,23.5
2021,2,28,0,33.2,24.3
2021,3,1,0,33.3,24.1
2021,3,2,0,33.8,24.7
2021,3,3,0,33,24.2
2021,3,4,0,32.5,22.6
2021,3,5,0,33.2,22.2
2021,3,6,0,33.5,22.1
2021,3,7,0,33.3,24
2021,3,8,0,33.4,23.7
2021,3,9,0,33.4,22.3
2021,3,10,0,33.1,24.1
2021,3,11,0,33.6,23.5
2021,3,12,0,32.8,24.5
2021,3,13,-1,30.9,25.4
2021,3,14,0,33.7,24.2
2021,3,15,0.1,33.7,24.4
2021,3,16,0.6,31.8,24.2
2021,3,17,0,31.6,24.7
2021,3,18,0,33.4,25.7
2021,3,19,25.1,33.2,24.3
2021,3,20,2.7,34.2,24.8
2021,3,21,0,34.2,25.4
2021,3,22,0,33.4,26.6
2021,3,23,0,33.7,23.9
2021,3,24,0,33.6,24.7
2021,3,25,0,34.4,23.1
2021,3,26,0,34.2,24.2
2021,3,27,0,34.8,24.2
2021,3,28,0,34.7,24.5
2021,3,29,0,35.1,24.3
2021,3,30,0,35.2,23.8
2021,3,31,0,35.4,23.9
2021,4,1,0,36.2,22.5
2021,4,2,0,35.1,22.8
2021,4,3,0,35.3,23.2
2021,4,4,0,35.3,23.5
2021,4,5,0,35.4,23.9
2021,4,6,0,34.9,23.6
2021,4,7,0,34.5,24
2021,4,8,0,33.7,24
2021,4,9,0,34.7,24.4
2021,4,10,0,34.6,22.7
2021,4,11,0,35.3,22.4
2021,4,12,0,35.3,23.1
2021,4,13,0,32.6,24.3
2021,4,14,0,33.4,24.7
2021,4,15,0,33.4,25.5
2021,4,16,0,35.6,24.9
2021,4,17,0,32.7,24.6
2021,4,18,0,35.1,24.5
2021,4,19,0,32.7,24.4
2021,4,20,0,32.5,27
2021,4,21,0,32.5,26
2021,4,22,0,33.7,24.5
2021,4,23,0,32.8,23.4
2021,4,24,0,32.7,22.8
2021,4,25,0,32.9,22.2
2021,4,26,0,32.7,24.1
2021,4,27,0,34.4,24.1
2021,4,28,0,34.4,24.3
2021,4,29,0,31.8,25
2021,4,30,0,32.7,25.4
2021,5,1,0,35.2,24.6
2021,5,2,0,36.8,24.4
2021,5,3,0,36.1,25.8
2021,5,4,0,36.8,26.4
2021,5,5,0,36.9,26
2021,5,6,0,36.4,26.2
2021,5,7,0,35.8,25.5
2021,5,8,-1,36.7,26.4
2021,5,9,0,37.4,26.8
2021,5,10,0,36.8,26.5
2021,5,11,0,35.9,27.1
2021,5,12,0,38,27.2
2021,5,13,0,36.8,26.6
2021,5,14,0,36.8,26.4
2021,5,15,0,37.4,27
2021,5,16,0,37.3,26.1
2021,5,17,0,37.9,27.5
2021,5,18,0,37,26.8
2021,5,19,0,36.6,25.7
2021,5,20,2.5,36.6,25.7
2021,5,21,0,33.5,25.9
2021,5,22,0,33,24.9
2021,5,23,-1,34.1,25
2021,5,24,0.2,33.6,24.6
2021,5,25,0,36.8,25.9
2021,5,26,0,34.1,27
2021,5,27,0,33.9,26.3
2021,5,28,0,35.6,26.4
2021,5,29,0,34.6,26
2021,5,30,0,33.9,26
2021,5,31,0,34,26.4
2021,6,1,-1,36.1,26.1
2021,6,2,60.3,31.5,24.9
2021,6,3,26.1,32.2,25.1
2021,6,4,18.7,32.9,23.7
2021,6,5,32.6,30.9,24.7
2021,6,6,0,31,25.3
2021,6,7,2,32.3,25.5
2021,6,8,27.6,31,24.1
2021,6,9,2.5,31.3,24.2
2021,6,10,19,32.4,24.4
2021,6,11,5.2,30.1,25.3
2021,6,12,0,32.5,25.6
2021,6,13,83.1,30.6,23.6
2021,6,14,2.6,31,23.8
2021,6,15,0,31.6,24.7
2021,6,16,0,31.8,24.5
2021,6,17,0,31.9,25
2021,6,18,0.2,33.1,26.1
2021,6,19,1.6,32.2,25.2
2021,6,20,18,31.6,24.7
2021,6,21,84.5,30.7,23.9
2021,6,22,17,30.5,23.4
2021,6,23,65.4,30.9,23
2021,6,24,0,31.2,24.7
2021,6,25,6.5,29.1,23.6
2021,6,26,0,31.6,24.8
2021,6,27,0,31.7,24.6
2021,6,28,4.9,31.7,24
2021,6,29,0,31.1,24.7
2021,6,30,0,31.9,24.7
2021,7,1,-1,31.8,24.2
2021,7,2,-1,32.6,24
2021,7,3,22.5,31.1,23.7
2021,7,4,33.3,29.9,24.6
2021,7,5,30.5,29.5,24.1
2021,7,6,14.6,30.3,23.9
2021,7,7,5.8,33.5,24.6
2021,7,8,4.1,33.5,24.6
2021,7,9,0,30.7,25.6
2021,7,10,0,32.5,24.5
2021,7,11,0,32.5,25.3
2021,7,12,0,33.4,24.9
2021,7,13,7.1,33.9,23.9
2021,7,14,0,31.8,24.2
2021,7,15,1.5,31.6,25.3
2021,7,16,2,30.8,25.2
2021,7,17,54,31.2,23.5
2021,7,18,34,30,24.7
2021,7,19,81,31.2,24
2021,7,20,152,27.8,24
2021,7,21,94.7,26,24.2
2021,7,22,143.2,27.4,23.9
2021,7,23,73.8,29.5,24.6
2021,7,24,119.1,28.7,24.5
2021,7,25,42.4,28.8,24.7
2021,7,26,21.9,30.1,26
2021,7,27,47.6,30.5,25.4
2021,7,28,146,28.6,24
2021,7,29,152.2,28.3,23.8
2021,7,30,22.5,30.3,25.6
2021,7,31,11,31.1,26.2
2021,8,1,34.4,30.4,24.5
2021,8,2,43.2,30.3,25.9
2021,8,3,15.7,29.8,25.9
2021,8,4,50.2,30.3,24.4
2021,8,5,28.7,30.2,25
2021,8,6,13.5,30.8,25.2
2021,8,7,2.5,30.8,27.4
2021,8,8,52,30.9,23.4
2021,8,9,22.5,30.6,23.6
2021,8,10,5.5,29.8,23.6
2021,8,11,1,28,23.4
2021,8,12,0,30.6,24.6
2021,8,13,-1,31.3,24.5
2021,8,14,0,31.7,25
2021,8,15,1,31.1,23.5
2021,8,16,0.6,30.8,24.2
2021,8,17,-1,32.7,25.2
2021,8,18,2,31.8,24.3
2021,8,19,0,31.5,25.2
2021,8,20,0.5,31.8,24.7
2021,8,21,4,31.9,24.4
2021,8,22,6,31.6,24.4
2021,8,23,-1,31.1,25.2
2021,8,24,1,29.4,24.1
2021,8,25,4.1,32,24.2
2021,8,26,5.1,31.8,24.4
2021,8,27,12.6,31.7,23.7
2021,8,28,0,33.3,24.8
2021,8,29,32.8,32.7,24
2021,8,30,0,31.4,24.3
2021,8,31,-1,32.2,24.9
2021,9,1,2.2,32.8,24.2
2021,9,2,83.5,30.9,23.4
2021,9,3,-1,31.6,24.4
2021,9,4,0,32.3,24.6
2021,9,5,0.6,31.9,25.2
2021,9,6,0,32.3,23.8
2021,9,7,20.5,33,24
2021,9,8,93,27.2,23.7
2021,9,9,11,31.6,25.1
2021,9,10,64.8,30.1,24.4
2021,9,11,109,28.7,24.4
2021,9,12,34.5,27,24.2
2021,9,13,0,32.5,24.2
2021,9,14,36.9,32.8,23.6
2021,9,15,0.5,33.5,24.2
2021,9,16,26.9,33.2,23.6
2021,9,17,0.4,33,25
2021,9,18,0,33.2,24.7
2021,9,19,0,30.1,23.5
2021,9,20,0,31.1,24.6
2021,9,21,6.1,33.5,25.2
2021,9,22,0,33.8,25.2
2021,9,23,20,33.7,21.7
2021,9,24,0,33.6,23.4
2021,9,25,0,33.6,24.5
2021,9,26,-1,33.5,25.5
2021,9,27,1,32.8,24.9
2021,9,28,0.5,32.1,25.4
2021,9,29,0,31.6,25.4
2021,9,30,0,32.4,24.9
2021,10,1,-1,31.9,24.5
2021,10,2,7.3,32.7,24.7
2021,10,3,2.2,31.7,25
2021,10,4,3.5,30.2,24.5
2021,10,5,3.1,27.7,24.1
2021,10,6,0.4,29.8,25.2
2021,10,7,5,28.9,25
2021,10,8,1.5,30.3,25.6
2021,10,9,0,31.2,25.1
2021,10,10,0,32.1,26.5
